"12",2660,2210,1924,1313,1656,1381,4555,1788,102953,1044,2121,264353,1825,1053,1406,1036,8021,1563,1582,2172,71649,3799,5505,1107,6175,33680,3934,64787,7126,77309,1739,2154,2354,1269,1865,2002,977,1511,3529,3952,4999,5791,4129,965,1778,966,1164,2807,1729,25075,1577,2580,1271,12671,1617,5315,20665,1210,4906,5172,999,762,5843,1521,4023,1257,541,8361,1064,963,3603,2940,4324,12217,928,1388,1568,2062,6164,20108,911,3724,2652,1111,2123,889,4080,6459,4251,2207,3562,1238,3816,996,1303,2382,904,998,24419
"13",5146,3494,2093,4978,5932,5039,1429,2806,4097,3084,4781,1825,256971,2427,2141,1813,1790,8710,1559,8159,4319,4951,2699,4413,1818,1329,1889,1283,2229,1532,2762,6261,5466,2758,2232,2770,5768,5248,3942,2978,2489,4334,3666,3984,3777,2294,2679,2190,10882,2239,2015,1891,2254,2362,1947,2047,2106,2874,1508,1831,99616,1937,1693,3186,17283,1209,680,2079,3832,1430,2090,1749,1714,1929,111867,2453,22088,2267,5784,1807,2080,1846,1326,1651,8753,2668,2702,3756,2087,7865,1076,3747,3396,2436,2535,4342,1548,3203,3912
"14",22257,1505,1684,4750,8696,18642,938,1988,1342,49362,12860,1053,2427,192105,2140,1989,1092,3152,1135,3942,1020,845,954,4370,1049,737,1141,1063,1323,768,1062,1946,1090,965,1109,927,3268,3594,1205,1124,1256,1988,1161,3317,2137,5082,1247,1093,3577,850,1280,1343,1206,739,1655,1596,824,1163,781,1414,3081,9935,779,2192,3959,837,1192,818,8589,3053,755,735,915,833,2364,981,2861,1587,1099,892,1951,661,893,927,3184,4105,1749,1859,809,2722,971,3485,745,1585,1303,1874,1271,2985,1031
"15",2246,3038,9020,2700,2591,2091,1575,62777,1857,2111,2990,1406,2141,2140,266413,7571,2025,1435,2849,1796,1471,1217,1495,1938,1912,1076,2388,1571,2650,1100,2103,15645,2452,2230,1897,1650,2454,1808,2051,2241,2563,4537,1704,2308,35475,1588,4227,2108,2442,1058,2871,2676,3972,1205,7794,3123,1095,2084,1589,2434,2327,1891,1231,66304,2009,1573,4228,1250,1929,6227,1106,1083,1632,1138,1644,1939,2099,8593,1654,1463,10872,923,1607,1964,1474,1702,3778,4275,1799,5077,2055,4621,1129,5302,2258,4905,2457,3860,1509
"16",1891,2108,10048,2439,2594,1585,1498,8541,1586,1923,2830,1036,1813,1989,7571,279715,1599,1253,1560,1401,1236,1090,1238,1687,1558,889,2293,1317,2222,859,1506,26305,1410,1347,1427,1238,2024,1281,2309,1738,1935,2747,1643,2886,7630,1630,2143,1687,3705,894,1816,2267,2337,944,2699,2003,882,1504,1126,2027,2675,1912,1184,8632,1790,1002,20466,1146,1711,10938,943,920,1291,936,1568,1404,1753,10132,1409,1069,3767,839,1370,1439,1161,1425,2436,2615,1272,4121,1683,5819,939,2297,2040,2943,1739,4210,1210
"17",2342,2934,2512,1767,2124,1537,73296,2629,10137,1371,2931,8021,1790,1092,2025,1599,298637,1197,2376,1621,6485,4161,4242,1192,73106,5915,13599,7467,21820,7762,2615,2945,1836,2592,3091,2995,1461,1397,3378,4001,5172,11033,4019,1342,2761,706,2208,9417,1962,6036,3089,11558,2196,5380,2974,7512,6052,2140,2619,4311,1473,709,4312,2657,2914,1752,752,3951,1306,1307,3455,2974,3366,4301,1108,2608,1723,2701,6262,6881,1515,3905,15371,2491,1508,821,8249,10974,3660,3980,10583,2596,4644,1857,2494,4490,1814,1363,6095
"18",6301,2338,1662,2948,7738,7864,1079,1998,2851,3675,4277,1563,8710,3152,1435,1253,1197,220957,906,42853,3550,4957,1934,15177,1203,988,1169,828,1293,1295,1290,5148,2136,1903,1326,2225,3045,22646,3036,2332,1484,2584,2727,2244,3355,7715,1479,1175,5790,1810,1028,947,1126,1720,930,1587,1849,2054,848,1332,2495,3805,1134,2107,45708,771,782,1763,4796,1170,1500,1297,1110,2248,3195,1215,5591,2264,4975,1310,1109,1215,738,843,56394,24168,1589,2138,1313,4018,559,2201,2915,1094,1916,2302,1071,1952,4011
"19",1891,4911,2708,3519,1722,1005,1427,3026,3101,1185,4457,1582,1559,1135,2849,1560,2376,906,686967,1748,2042,1079,2357,1303,2071,753,2895,2569,2910,928,5195,2140,2341,186536,6391,2684,1026,1135,1589,2520,3984,9524,1643,1576,2788,808,2814,2898,1357,1183,4341,3388,3589,1063,5710,5137,1112,2628,2207,3244,1358,895,1312,2787,2111,188225,859,1320,885,954,1213,789,1901,1048,908,4853,1563,2378,1798,2005,1723,774,2861,4034,1024,1004,6841,8915,1996,2951,2494,2088,1024,2287,2293,5867,2554,1206,1537
"20",8568,3100,2113,3152,8449,7579,1579,2502,4797,4464,6538,2172,8159,3942,1796,1401,1621,42853,1748,254772,4870,5162,2859,26711,1684,1340,1433,1533,1596,1704,1763,5165,2924,2125,1949,2336,3442,88039,3392,2491,2224,4605,3850,2557,3343,8479,2075,1480,6462,2488,1584,1589,1735,2170,1913,2213,2294,2170,1172,2704,3196,4225,1515,2361,85533,861,678,2222,5602,1190,1934,1485,1668,2501,3137,1840,8976,2455,5573,2196,1592,1665,952,1256,55872,48380,2621,4071,1589,5419,802,2388,3232,1712,2155,3181,1222,2514,3754
"21",5427,4443,2202,1685,2908,2305,5238,2606,109559,1128,2135,71649,4319,1020,1471,1236,6485,3550,2042,4870,78131,9567,9683,1396,6567,22924,4074,98839,5746,39571,2943,5167,3326,2709,3231,4318,1749,2371,4823,4795,5775,8144,6568,1455,2134,718,2339,3070,2351,37053,1928,2910,2194,17981,2161,4255,25156,1892,5837,5053,1242,672,7039,1802,15644,1122,513,10361,1688,939,5782,3907,4448,12747,1144,2783,3871,1947,15536,19900,1302,6165,2447,1538,4770,736,4376,7644,6305,6593,3103,1709,8371,1698,2358,5029,1009,1404,28781
