cik,list_broad_quantity_E,list_commodity_E,list_competition_E,list_consumer_E,list_elections_P,list_exchange_rate_E,list_financial_crisis_E,list_govt_enterprises_P,list_govt_spending_P,list_healthcare_E,list_inflation_E,list_interest_rates_E,list_invest_sentiment_E,list_ip_E,list_labor_disputes_E,list_labor_markets_E,list_litigation_E,list_monetary_P,list_other_financial_E,list_policy_agri_P,list_policy_food_P,list_policy_trade_P,list_real_estate_E,list_reg_energy_p,list_reg_finance_P,list_reg_generic_P,list_reg_housing_P,list_reg_immigration_P,list_reg_ip_P,list_reg_labor_P,list_reg_lawsuit_P,list_reg_other_P,list_security_P,list_taxes_P,list_trade_E,list_transport_P,list_welfare_P,sentences
8411,0,96,0,0,0,2,0,0,0,0,2,2,0,0,8,6,2,2,0,0,0,0,0,5,2,59,0,0,0,0,0,0,20,32,0,0,0,781.0
8504,4,204,1,1,0,2,0,0,0,0,0,4,0,15,1,3,7,0,1,0,0,0,0,2,10,59,0,0,0,3,0,0,8,22,0,5,0,1053.0
8670,0,0,0,0,0,5,0,0,0,8,0,10,0,24,0,30,10,0,0,0,0,0,0,0,0,119,0,0,2,0,0,0,0,66,0,0,5,586.0
8818,4,31,4,5,8,29,0,0,0,15,2,46,0,68,3,9,21,13,0,0,0,16,0,0,4,138,0,0,0,5,0,0,0,131,0,0,0,1489.0
8858,0,12,0,0,4,20,0,0,0,0,0,5,0,16,0,17,8,0,0,0,0,15,0,0,0,106,0,0,0,0,0,0,5,51,0,0,0,878.0
8868,17,8,0,30,10,20,0,0,0,5,20,10,0,62,10,32,35,0,0,0,0,5,0,0,28,115,0,3,0,0,0,0,10,74,0,0,0,1814.0
8947,0,54,0,0,0,0,0,0,0,0,10,0,0,0,5,25,10,0,0,0,0,0,0,5,7,75,0,0,0,0,0,0,10,23,0,0,0,820.0
9092,0,12,0,0,4,3,0,0,6,4,5,0,0,9,3,5,13,0,0,0,0,1,3,0,4,23,0,0,0,3,0,0,0,5,0,0,0,285.0
9235,0,3,4,0,0,1,1,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,19,27,0,0,0,0,0,0,1,10,0,0,0,267.0
9346,5,1,0,0,0,0,0,0,0,0,10,13,0,5,0,2,6,0,0,0,0,0,0,0,0,39,0,0,0,6,0,0,5,7,0,0,0,421.0
9389,0,46,6,0,0,21,0,0,2,0,0,4,0,4,8,4,9,0,0,0,0,8,0,0,8,93,0,0,0,0,0,0,0,34,0,0,0,954.0
9466,4,62,7,2,0,0,0,0,0,2,0,4,0,0,6,14,16,0,0,0,0,4,2,28,22,190,0,0,0,0,0,1,6,43,0,2,2,1289.0
9892,0,15,4,0,1,4,0,0,0,67,3,0,0,39,3,6,32,0,0,0,31,1,0,0,8,63,0,0,0,0,0,0,5,19,0,0,19,516.0
9984,1,18,0,0,0,26,0,0,11,5,0,22,0,42,25,18,1,0,0,0,0,9,0,0,2,82,0,0,0,0,0,0,26,68,0,5,0,1501.0
10048,4,229,0,2,0,11,0,0,0,0,1,12,0,0,0,8,8,0,0,0,0,0,29,8,20,84,4,0,0,0,0,0,0,42,0,0,0,1128.0
10254,0,541,19,0,0,0,0,0,0,0,0,9,0,0,2,0,32,0,0,0,0,2,0,83,62,264,3,0,0,0,3,0,0,67,0,1,0,2082.0
10329,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,5,13,0,0,15,0,0,0,0,0,0,0,5,0,0,0,296.0
10456,0,27,10,0,4,23,0,0,2,125,0,15,0,102,0,5,60,0,0,0,24,0,0,0,6,147,0,0,0,0,0,0,5,113,0,0,15,1215.0
10795,0,26,12,0,5,23,0,0,0,82,0,10,0,60,0,7,37,0,0,0,40,11,0,0,0,87,0,0,0,0,0,0,10,25,0,0,11,1051.0
11199,0,10,1,0,0,13,0,0,0,3,0,25,0,36,1,1,17,0,0,0,0,4,0,0,5,59,0,0,0,0,0,0,3,9,0,0,0,669.0
11544,9,23,5,0,14,3,0,0,6,0,28,52,0,0,0,0,6,9,0,0,0,0,30,0,47,157,0,0,0,5,5,0,5,28,0,0,0,1331.0
12040,0,4,0,1,0,0,0,0,0,23,0,0,0,0,0,64,24,0,0,0,0,0,0,0,0,97,0,0,0,24,0,0,3,0,0,0,0,647.0
12208,0,13,2,0,3,3,0,0,0,81,3,0,0,24,4,6,9,0,0,0,27,3,3,0,32,121,0,0,3,0,0,0,6,74,0,0,19,973.0
12239,0,13,2,0,0,0,0,0,0,2,0,0,0,437,0,0,153,0,0,0,2,0,0,0,29,50,0,0,11,0,45,0,3,2,0,0,0,1422.0
12400,4,41,2,0,0,0,0,0,0,4,0,8,0,0,4,0,7,0,0,0,0,0,4,31,13,134,0,0,0,4,3,0,6,10,0,0,0,697.0
12659,0,17,1,0,0,5,0,2,0,9,0,2,0,51,0,27,126,11,59,0,0,0,21,0,82,155,0,0,0,4,0,0,6,326,0,0,7,1503.0
12927,5,20,0,0,0,5,0,0,2,0,0,0,0,0,5,25,15,0,0,0,0,10,0,0,0,75,0,0,0,0,0,0,45,5,0,6,0,1083.0
13033,2,2,0,1,0,9,0,0,0,0,0,1,0,9,0,7,4,2,1,0,0,0,1,0,10,38,0,0,0,0,0,0,1,24,0,0,0,320.0
13239,0,56,0,3,0,15,0,0,0,15,0,21,0,110,15,23,79,5,0,0,15,13,0,5,5,190,0,0,0,10,0,0,5,40,0,0,0,2266.0
13372,0,66,0,0,0,0,0,0,0,0,0,10,0,0,5,18,13,0,0,0,0,6,0,39,5,120,0,0,0,0,0,0,15,0,0,0,0,674.0
14177,0,10,0,5,0,0,0,0,0,8,15,5,0,0,0,5,0,0,0,15,5,0,0,0,0,35,0,0,0,4,0,0,0,0,0,0,0,301.0
14195,0,30,0,15,25,17,0,0,5,0,5,15,0,10,5,10,10,0,0,0,0,14,0,0,0,70,0,0,0,0,0,0,10,32,0,0,0,901.0
14272,0,27,5,0,0,0,0,0,2,25,0,2,0,93,0,17,33,0,0,0,5,0,0,0,5,110,0,0,0,0,0,0,5,24,0,0,5,738.0
14693,0,28,0,10,5,20,4,0,0,0,6,5,0,35,0,19,46,0,0,0,0,25,0,0,2,69,0,0,0,0,0,0,5,90,0,0,0,1126.0
14707,0,16,0,16,1,16,0,0,0,0,4,8,0,40,0,10,21,0,4,0,0,7,4,0,0,42,0,0,0,5,0,0,9,30,0,0,0,722.0
14846,0,3,0,2,0,0,0,15,2,0,3,25,0,0,0,10,2,0,0,0,0,0,78,0,1,19,0,0,0,0,0,0,0,45,0,0,0,614.0
14930,4,31,0,12,2,5,0,0,0,0,8,11,0,42,5,28,19,0,1,0,0,11,0,5,5,79,0,0,0,0,0,1,0,32,0,0,0,1384.0
15511,4,22,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,0,0,0,0,8,0,2,0,67,0,0,0,4,0,0,16,12,0,0,0,414.0
15615,0,76,0,0,0,3,0,0,0,3,0,3,0,0,12,34,42,0,0,0,0,0,5,3,8,82,0,0,0,17,0,3,9,69,0,0,0,1515.0
15847,0,13,0,8,0,0,0,0,5,0,0,0,0,0,0,8,5,0,0,0,0,0,12,0,6,114,0,0,0,0,3,0,28,22,0,38,0,750.0
16040,5,38,1,0,0,5,0,0,0,0,5,15,0,44,0,0,16,0,0,0,0,10,0,8,0,55,0,0,0,0,1,0,5,23,0,0,0,727.0
16058,0,0,0,0,1,9,0,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,5,61,0,0,0,0,0,0,29,9,0,0,0,1477.0
16099,0,4,0,5,0,0,0,0,0,45,19,7,0,20,0,36,35,0,1,1,0,0,0,0,5,60,0,0,0,35,0,0,5,22,0,0,0,919.0
16160,0,15,5,10,0,0,0,0,0,11,0,0,0,25,0,5,15,0,0,10,11,0,0,9,0,55,0,0,0,0,0,0,0,0,0,0,0,835.0
16732,15,10,5,5,0,4,0,0,1,0,1,13,0,33,5,8,15,0,0,5,5,10,0,5,0,90,0,0,0,5,0,0,5,17,0,0,0,876.0
16875,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,0,0,0,0,0,0,4,3,39,0,0,0,3,0,0,12,6,0,0,0,295.0
16918,0,39,0,15,0,11,0,0,5,2,18,19,0,45,5,4,25,0,0,0,0,11,0,0,8,98,0,0,0,0,0,0,15,81,0,0,0,1440.0
17313,8,5,0,0,4,0,0,0,1,0,0,44,0,0,0,5,24,3,1,0,0,1,0,0,32,85,0,0,0,0,0,0,8,117,0,0,0,1422.0
17485,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,7,105.0
17797,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,58.0
